car_full_nm,car_0_60_time_seconds
Porsche 911 GT3 997 - [2007],4.3
Porsche Cayenne 4.8 V8 Turbo S - [2013],4.3
Porsche Panamera GTS 4.8 V8 - [2013],4.3
Subaru Impreza WRX STI Type RA Spec C - Blobeye - [2003],4.3
Alfa-Romeo 4C 1.8 Turbo - [2013],4.4
Aston-Martin Vanquish 5.9 V12 - [2000],4.4
Aston-Martin Vantage V12 Roadster - [2012],4.4
Aston-Martin Vantage V8 SP10 - [2013],4.4
Audi A6 RS6 Avant 5.0 V10 - [2007],4.4
Audi A8 4.0 V8 TFSI Quattro - [2013],4.4
Audi A8 6.3 W12 L - [2012],4.4
Audi R8 Spyder 4.2 V8 FSI Quattro S-Tronic - [2012],4.4
BMW 3 Series M3 Coupe Frozen Edition E92 - [2010],4.4
BMW 5 Series M5 F10 - [2011],4.4
Jaguar XF R-S 5.0 V8 - [2012],4.4
Lotus Elise SC 1.8 - [2007],4.4
Mercedes C Class 63 AMG - [2007],4.4
Mercedes CLS Class 63 AMG - [2006],4.4
Mitsubishi Lancer Evo IX FQ 320 - [2005],4.4
Mitsubishi Lancer Evo VI GSR - [2000],4.4
Mitsubishi Lancer Evo VIII MR FQ 340 - [2003],4.4
Porsche 911 3.8 Speedster - [2010],4.4
Porsche 911 Carrera 4S 991 - [2012],4.4
Porsche 911 Carrera S 991 - [2011],4.4
Porsche 911 GT3 RS 996 - [2003],4.4
Porsche Panamera GTS 4.8 V8 - [2011],4.4
Rolls-Royce Wraith 6.6L V12 - [2013],4.4
TVR T350 T 3.6 - [2004],4.4
Tesla Model S 85 kWh - [2012],4.4
Aston-Martin DB9 5.9 V12 - [2012],4.5
Audi A5 RS5 4.2 Quattro - [2010],4.5
BMW 5 Series M550d xDrive F10 - [2013],4.5
BMW 7 Series 760 Li - [2012],4.5
BMW X6 M 4.4 V8 Turbo E71 - [2013],4.5
Bentley Continental Flying Spur Speed 6.0 W12 - [2008],4.5
Bentley Continental GTC Speed - [2009],4.5
Bentley Continental GTZ Zagato 6.0 W12 2d - [2008],4.5
Fisker Tramonto 5.4 V8 - [2005],4.5
Ford Mustang FR 500 - [1999],4.5
Holden HSV GTS Supercharger - [2002],4.5
Lotus 340 R - [2000],4.5
Maserati Quattroporte 3.8 V8 - [2012],4.5
Mercedes CL Class 600 Coupe Bi Turbo - [2006],4.5
Mercedes CLA 45 AMG 2.0 Turbo - [2013],4.5
